    1024	   8	       128	     0.013
   51200	   8	      6400	     0.843
  256000	   8	     32000	     2.485
 1024000	   8	    128000	     1.902
 8192000	   8	   1024000	     3.753
    1024	  64	        16	     0.026
   51200	  64	       800	     0.661
  256000	  64	      4000	     4.430
 1024000	  64	     16000	     0.001
 8192000	  64	    128000	     1.949
    1024	 128	         8	     0.016
   51200	 128	       400	     1.037
  256000	 128	      2000	     4.835
 1024000	 128	      8000	     3.023
 8192000	 128	     64000	     0.398
    1024	 256	         4	     0.022
   51200	 256	       200	     1.000
  256000	 256	      1000	     3.999
 1024000	 256	      4000	     3.234
 8192000	 256	     32000	     0.039
    1024	 512	         2	     0.017
   51200	 512	       100	     1.133
  256000	 512	       500	     6.205
 1024000	 512	      2000	     0.676
 8192000	 512	     16000	     7.042
